V;generique
V;burger-mort
B;Combien ne font pas 6 fois 4 ?
B;Multipliez les chiffres de votre numéro de téléphone par 2020.<br />Si vous n'y arrivez pas, dites « J'appelle en masqué ! ».
B;Selon vous, quel chiffre est le plus coloré ?
B;J'ai une blague : un mathématicien va aux toilettes, il fait…
B;Et multiplié par R au carré divisé par Pi, on obtient quoi ?<br />Si vous ne savez pas, répondez « j'en sais R ».
B;Dans un losange, quel côté est le plus long ?
B;Combien de nombres avez-vous déjà rencontrés dans votre vie ?<br />Moins de cent ou plus de mille ?
B;Combien de chiffres différents contient la partie décimale du nombre Pi ?
B;De Pythagore ou Thalès, lequel vous fait le plus craquer ?
B;Citez une notion à laquelle vous n'avez jamais rien compris en maths…
V;burger-mort
B;Quelle est la différence entre 2020 et votre année de naissance ?
B;Quand vous devez partir rapidement, vous préférez prendre la tangente ou le cosinus ?
B;Combien y'a-t-il de lettres dans le nombre 99 écrit en chiffres romains ?
B;Convertissez 100 € en $ en sachant que 1 € = 1,12 $ au moment où j'écris cette question.
B;Question indiscrète : quel âge avez-vous ?<br />Si vous ne savez plus, reprenez la réponse de la question 1.
B;Combien de lettres distinctes contient cette question à plus ou moins 26 ?
B;Citez un nom de mathématicien que l'on a évoqué dans cette partie.
B;Jusqu'à combien vos proches peuvent-ils compter sur vous ?
B;A votre avis, quelle heure sera-t-il dans 72 heures ?
B;Quand un enfant veut la moitié de la moitié de la moitié, il veut quoi en fait à part me prendre la tête ?
V;burger-mort
B;Combien vaut 2 + 2 ?
B;Quel est votre triangle préféré ?
B;Vrai ou Faux :<br />le prénom de Pythagore était Kévin ?
B;Epeler à l’envers le mot Pi
B;Combien vaut 3564 x 12367 ?<br />Si vous ne savez pas, faites un tour sur vous-même et dites 42.
B;Si x = 3, combien vaut 72 ?
B;De quelle forme sont les orbites de rotation des planètes autour du soleil ?<br />Indice, ce sont des ellipses.
B;Quelle était la réponse à la troisième question ?
B;En général, combien de côtés a un carré ?
B;Citer un nombre plus grand que 26 et plus petit de 34.
V;burger-mort
B;Comment appelle-t-on un triangle ayant deux angles droits ?
B;La Terre est-elle ronde, plate ou cylindrique ?<br />Si vous avez un doute, dites simplement « théorie du complot ».
B;Doit-on remercier M. Révolution pour la découverte des cylindres de révolution ?
B;Citez un nombre inférieur à zéro. 
B;Faut-il être à cheval sur la précision pour tracer une perspective cavalière ?
B;Si je transvase 1 litre d’une bouteille à une autre, combien de litres contiendra la deuxième bouteille ?<br />Attention, je suis particulièrement maladroit !
B;Vrai ou faux : Les calculatrices explosent quand on divise un nombre par zéro ?
B;Question People : Pi est-il le fils caché de Pythagore ?
B;Choisissez un nombre. Multipliez-le par un autre nombre mais surtout pas par 2020 puis donnez le résultat obtenu.
B;Vous êtes arrivés à la fin. Faites un petit discours en deux mots seulement pour remercier vos professeurs de vous avoir amené jusque-là.
V;burger-mort
B;Y’a-t-il une vie après les maths pour les grands esprits ?
B;A trois près, estimez le nombre d’étoiles de mer qui seront présentes dans le ciel cette nuit ?
B;Inventez le nom d’une chaine TV qui diffuserait des mathématiques 24h/24.
B;Le volume d’un solide dépend-il du bruit présent dans la classe ?
B;Lors d’un premier rendez-vous, vaut-il mieux parler du théorème de la boule chevelue ou du théorème des gendarmes ?
B;Faut-il n’avoir que des 20 à l’école pour devenir œnologue ?
B;Cot au cube, c’est égal à quoi ?<br />Si vous ne savez pas, imitez la poule.
B;Pour faire la vaisselle, on utilise plutôt du produit ou du quotient ?
B;Quel site utilisez-vous pour traduire les cours écrits en chinois de vos professeurs ?
B;Peut-on sauver la planète grâce aux arbres de probabilité ?
V;burger-mort
B;Quel figure pourrait-on nommer avec les lettres R, E, C, T, A, N, G, L et E ?
B;Le patron d’un cube doit-il savoir faire preuve d’autorité ?
B;Comment aider un ami qui a le compas dans l’oeil ?
B;Dans quel pays peut-on voir les magnifiques pyramides égyptiennes ?
B;La formule R2D2 permet-elle de calculer le volume d’un robot ?
B;Quelle est la probabilité d’obtenir 6 avec un dé à coudre ?
B;Vrai ou faux : il faut être bon en géométrie pour bien jouer du triangle ?
B;Quel est le nombre préféré des vampires ?<br />Indice : Cherchez entre 99 et 101...
B;Citez un code moins sécurisé que « math4ever ».
B;Si j’enlève les lettres R, E, C et T à la première réponse, quel mot pouvez-vous former ?
V;burger-mort
B;Dans la vie, vous êtes plutôt carré ou cône ?
B;A votre avis, combien de sixièmes faut-il pour égaler un troisième ?
B;Quelle est votre nombre préféré en binaire ? Moi, c’est 0110…
B;Si vous parcourez 60 kilomètres en une heure, quelle est votre vitesse moyenne en km/h ?
B;Pensez-vous en connaître un rayon sur les cercles ?
B;Calculez très rapidement 1 234 567 x 89 x 0.
B;A quel endroit du corps se situe la bosse des maths ?
B;Si A = 4 et B = 8, que vaudra C ?
B;Quel petit nom avez-vous donné à votre rapporteur ?
B;Citez une chose dans laquelle les mathématiques n’interviennent pas…<br />Si vous ne trouvez pas, dites « Horreur, les maths sont partout ! »